PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
74.0,0.0,3758808.748400612,1113929.5719567738,4872738.320357386,58.163053310672986,61.08348979298853,12932.37751001296,0.0,20298.704725318043,30911.379852947368,S1 τ=60,60
76.0,0.0,3860398.1740330607,1100648.0935484327,4961046.267581494,58.66596970860659,61.55130001056472,12776.919111904943,0.0,20454.163123426064,30911.379852947368,S1 τ=60,60
78.0,0.0,3961987.59966551,1088020.6681797646,5050008.267845275,59.14638896401745,61.998183503178915,12628.414890978194,0.0,20602.66734435281,30911.379852947368,S1 τ=60,60
80.0,0.0,4063577.025297959,1075953.254301165,5139530.279599124,59.60748181084554,62.427089671050496,12485.884729620391,0.0,20745.197505710617,30911.379852947368,S1 τ=60,60
82.0,0.0,4165166.4509304077,1064396.385063365,5229562.835993772,60.04834646202257,62.83717967653881,12349.60738265769,0.0,20881.474852673316,30911.379852947368,S1 τ=60,60
84.0,0.0,4266755.876562857,1053219.933971728,5319975.810534585,60.4739628182154,63.23308579734268,12218.04349407865,0.0,21013.038741252356,30911.379852947368,S1 τ=60,60
86.0,0.0,4368345.302195306,1042497.679169052,5410842.981364358,60.882078439686325,63.61271282573349,12091.889324086556,0.0,21139.19291124445,30911.379852947368,S1 τ=60,60
88.0,0.0,4469934.727827755,1032177.275173577,5502112.003001332,61.275486463515406,63.9786589232954,11970.281475468773,0.0,21260.80075986223,30911.379852947368,S1 τ=60,60
90.0,0.0,4571524.153460204,1022315.9803423455,5593840.133802549,61.651659156957464,64.32857280617613,11854.001305295838,0.0,21377.08093003517,30911.379852947368,S1 τ=60,60
92.0,0.0,4673113.579092653,1012744.8261633341,5685858.405255986,62.01616127013968,64.66763077600048,11741.32867251806,0.0,21489.753562812944,30911.379852947368,S1 τ=60,60
94.0,0.0,4774703.004725101,1003470.0572328937,5778173.061957995,62.36979616508993,64.99658011594832,11632.015246847419,0.0,21599.066988483588,30911.379852947368,S1 τ=60,60
96.0,0.0,4876292.43035755,994479.8015024762,5870772.231860027,62.71334612532499,65.3161485020781,11525.819213654511,0.0,21705.263021676496,30911.379852947368,S1 τ=60,60
98.0,0.0,4977881.855989999,985697.3307045058,5963579.186694505,63.04905001935964,65.62841851823744,11422.048507788324,0.0,21809.033727542686,30911.379852947368,S1 τ=60,60
0.0,0.0,0.0,2867968.2849099822,2867968.2849099822,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S2 τ=60,60
0.0,6.0,942442.9805243728,2858047.2517179144,3800490.232242287,-7.797337411365629,0.0,33321.64443859057,0.0,0.0,30911.379852947368,S2 τ=60,60
0.0,12.0,1884885.9610487456,2850563.483241096,4735449.444289842,-8.032373388331019,0.0,33394.29730222143,0.0,0.0,30911.379852947368,S2 τ=60,60
11.0,0.0,558741.8409784694,2282989.6277855565,2841731.4687640257,14.201803712343386,20.19096406900168,26521.406361454923,0.0,6709.675873876084,30911.379852947368,S2 τ=60,60
11.0,6.0,1501184.821502842,2213529.775931102,3714714.597433944,16.258091052357994,22.66974717633096,25885.77957091494,0.0,7588.544675690768,30911.379852947368,S2 τ=60,60
11.0,12.0,2443627.802027215,2170765.694716911,4614393.496744126,17.47996365088823,24.14957360188862,25508.08189066418,0.0,8121.368993081033,30911.379852947368,S2 τ=60,60
22.0,0.0,1117483.6819569387,1905421.9404967965,3022905.622453735,28.436628659347296,33.432124196167976,22121.22555068443,0.0,11109.856684646576,30911.379852947368,S2 τ=60,60
22.0,6.0,2059926.6624813115,1810978.9765348514,3870905.6390161626,31.47548103958674,36.89252207712568,21181.874348258283,0.0,12382.886985010868,30911.379852947368,S2 τ=60,60
22.0,12.0,3002369.643005684,1748312.434028289,4750682.077033973,33.46009236530635,39.12337795141762,20568.40360276048,0.0,13218.628119114523,30911.379852947368,S2 τ=60,60
33.0,0.0,1676225.522935408,1624396.3724852232,3300621.8954206314,39.03215081361319,43.288023794364435,18846.003450176107,0.0,14385.078785154898,30911.379852947368,S2 τ=60,60
33.0,6.0,2618668.5034597805,1514103.2965654787,4132771.800025259,42.70692392528794,47.323409153922114,17710.080374892354,0.0,15910.319294937428,30911.379852947368,S2 τ=60,60
33.0,12.0,3561111.4839841537,1439517.478917184,5000628.962901338,45.18682983235398,50.003627303535744,16943.50723996349,0.0,16945.965788070273,30911.379852947368,S2 τ=60,60
44.0,0.0,2234967.3639138774,1420322.4432016378,3655289.807115515,46.65476748714342,50.37854217713282,16489.74745548708,0.0,16741.334779843924,30911.379852947368,S2 τ=60,60
44.0,6.0,3177410.34443825,1298039.5316387133,4475449.876076964,50.81458396559777,54.82962691262677,15203.890782646555,0.0,18455.097938207287,30911.379852947368,S2 τ=60,60
